Answer to Q1,Answer to Q2,Answer to Q3,Answer to Q4,Answer to Q5,respondent's age,respondent's gender (optional),"respondent's occupation (stay-at-home person of any gender who takes care of family is considered as having an occupation in this project, and must be coded as ""life-nurturer"")"
1,1,10,Difference-honoring feminism,No,21,female,Student
5,5,7,Difference-honoring feminism,No,19,Male,Student
4,5,6,Difference-removing feminism,No,21,Female,Student
7,1,9,Difference-removing feminism,No,20,Female,Student / Desk Operations Supervisor
7,5,8,Difference-honoring feminism,No,21,Male,Student
1,5,10,Difference-removing feminism,No,21,,student
7,6,8,Difference-denying feminism,No,22,Male,Student
1,2,5,Difference-honoring feminism,No,22,Female,Full time student
4,5,8,Difference-removing feminism,No,21,Male,Student
6,3,8,Difference-honoring feminism,No,21,Male,Student
