Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
2,Mechanicsville,Hanover_VA,VA,44.1,100,3,3.5,0.34,Light Rain,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,45,76,10,3.5,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Louisville,Jefferson_KY,KY,63,54,10,19.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Jacksonville,Duval_FL,FL,44.1,89,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
3,Greensboro,Guilford_NC,NC,64.9,87,10,15,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Augusta,Richmond_GA,GA,86,70,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Richmond,Richmond City_VA,VA,72,97,5,8,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Ventura,Ventura_CA,CA,66.9,44,10,5.8,0,Clear,TRUE,FALSE,FALSE,day
2,Farmington,Oakland_MI,MI,67,31,10,6,0,Fair,FALSE,FALSE,FALSE,day
2,San Diego,San Diego_CA,CA,68,84,9,8.1,0,Overcast,TRUE,FALSE,FALSE,twilight
2,Lake George,Warren_NY,NY,73,48,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Walnut Creek,Contra Costa_CA,CA,54,77,10,3.5,0,Clear,FALSE,FALSE,FALSE,night
2,Greenville,Anderson_SC,SC,57,39,10,6.9,0,Clear,FALSE,FALSE,TRUE,day
2,Yonkers,Westchester_NY,NY,69.1,93,9,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Gurnee,Lake_IL,IL,36,73,10,16.1,0,Clear,FALSE,FALSE,TRUE,twilight
3,Albertville,Wright_MN,MN,24.6,93,7,0,0,Overcast,FALSE,FALSE,FALSE,night
2,Charlotte,Mecklenburg_NC,NC,75.9,62,10,12.7,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Downers Grove,DuPage_IL,IL,78.1,60,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Isleton,Sacramento_CA,CA,77.2,51,10,18.4,0,Clear,FALSE,FALSE,FALSE,day
3,Enola,Cumberland_PA,PA,48,93,1.2,3.5,0.06,Heavy Rain,TRUE,FALSE,FALSE,day
3,Walnut Creek,Contra Costa_CA,CA,54,72,10,7,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Concord,Contra Costa_CA,CA,63,60,10,7,0,Cloudy,TRUE,FALSE,FALSE,day
3,Pomona,Los Angeles_CA,CA,77,50,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
3,Fountain Valley,Orange_CA,CA,72,73,9,4.6,0,Clear,FALSE,FALSE,FALSE,night
2,Wexford,Allegheny_PA,PA,23,96,8,3.5,0,Clear,FALSE,FALSE,TRUE,day
3,Columbus,Franklin_OH,OH,22,78,10,13,0,Cloudy,FALSE,FALSE,FALSE,twilight
2,Charlotte,Mecklenburg_NC,NC,39,53,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
2,Orlando,Orange_FL,FL,73.9,57,10,12.7,0,Clear,FALSE,FALSE,TRUE,twilight
2,Burbank,Los Angeles_CA,CA,78.1,18,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
3,Denver,Denver_CO,CO,62.6,30,70,5.8,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Ventura,Ventura_CA,CA,70,73,10,18.4,0,Clear,FALSE,FALSE,FALSE,day
3,Pittsburgh,Allegheny_PA,PA,54,33,10,17,0,Cloudy,FALSE,FALSE,FALSE,day
2,Sebring,Highlands_FL,FL,87.8,46,10,19.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Englewood,Sarasota_FL,FL,71.6,94,9,9.2,0,Clear,FALSE,FALSE,TRUE,day
3,Hawthorne,Los Angeles_CA,CA,72,57,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Lake Zurich,Lake_IL,IL,46.9,66,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Richmond,Wayne_IN,IN,73.4,65,7,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Pensacola,Escambia_FL,FL,79,100,10,6,0,Fair,FALSE,FALSE,FALSE,day
3,Bloomfield Hills,Oakland_MI,MI,69,70,10,8,0,Fair,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,68,76,10,0,0,Fair,FALSE,FALSE,FALSE,night
2,East Elmhurst,Queens_NY,NY,72,84,8,9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Seattle,King_WA,WA,57,83,10,3.5,0.01,Light Rain,FALSE,FALSE,FALSE,twilight
2,Mission Hills,Los Angeles_CA,CA,55,100,7,5,0,Cloudy,FALSE,FALSE,FALSE,day
3,Oroville,Butte_CA,CA,84.9,33,10,8.1,0,Clear,FALSE,FALSE,FALSE,night
2,Raleigh,Wake_NC,NC,82.9,65,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,57.9,42,10,6.9,0,Partly Cloudy,FALSE,FALSE,TRUE,night
3,Bellevue,King_WA,WA,54,86,10,12.7,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Glen Ellyn,Dupage_IL,IL,37,41,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Corona,Riverside_CA,CA,73,73,10,4.6,0,Clear,FALSE,FALSE,FALSE,night
3,Irmo,Richland_SC,SC,41,93,10,0,0,Fair,FALSE,FALSE,FALSE,day
3,Dallas,Dallas_TX,TX,46.9,66,10,15,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Augusta,Richmond_GA,GA,60.1,78,10,10.4,0,Overcast,FALSE,FALSE,FALSE,day
2,Lebanon,Lebanon_PA,PA,28.4,86,4,6.9,0,Light Freezing Rain,FALSE,TRUE,FALSE,day
4,Waco,Haralson_GA,GA,86.5,54,10,8.1,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Philadelphia,Philadelphia_PA,PA,28.9,67,10,12.7,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Coalville,Summit_UT,UT,61,72,10,6,0,Light Rain,FALSE,FALSE,FALSE,day
2,South Park,Allegheny_PA,PA,70,73,9,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Somerset,Somerset_PA,PA,71.6,78,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,91.4,59,10,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Pacific,King_WA,WA,55,94,7,7,0,Cloudy,TRUE,FALSE,FALSE,night
3,Myersville,Frederick_MD,MD,79,26,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Saint Augustine,St. Johns_FL,FL,86,74,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Mansfield Center,Tolland_CT,CT,37.9,79,10,8.1,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Los Angeles,Los Angeles_CA,CA,57,81,10,4.6,0,Clear,FALSE,FALSE,TRUE,night
2,San Bernardino,San Bernardino_CA,CA,54,82,2,5,0,Rain,FALSE,FALSE,FALSE,day
3,Azusa,Los Angeles_CA,CA,55.4,67,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Columbia,Richland_SC,SC,71,42,10,6,0,Fair,FALSE,FALSE,FALSE,day
4,Midland,Midland_MI,MI,41.7,99,2.5,4.6,0.01,Overcast,FALSE,FALSE,FALSE,day
2,Watertown,Middlesex_MA,MA,51.1,96,10,4.6,0,Light Rain,FALSE,FALSE,FALSE,day
3,Miami Beach,Miami-Dade_FL,FL,85,59,10,10,0,Fair,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,99,28,10,5,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Gardena,Los Angeles_CA,CA,74,68,10,8,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,Salt Lake City,Salt Lake_UT,UT,39,55,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Paterson,Passaic_NJ,NJ,25,55,10,9,0,Fair,FALSE,FALSE,FALSE,day
3,Akron,Summit_OH,OH,50,83,10,13,0,Cloudy,FALSE,FALSE,FALSE,day
2,Ann Arbor,Washtenaw_MI,MI,57,29,10,11.5,0,Clear,FALSE,FALSE,FALSE,day
2,Vernon,Los Angeles_CA,CA,46,35,9,0,0,Partly Cloudy,FALSE,FALSE,TRUE,night
2,Allen Park,Wayne_MI,MI,39,87,3,5,0,Cloudy,FALSE,FALSE,FALSE,day
2,Madera,Madera_CA,CA,78.1,36,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Dallas,Dallas_TX,TX,97,39,10,5.8,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Saint Paul,Ramsey_MN,MN,5,78,2,10.4,0,Light Snow,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,59,81,10,3.5,0.03,Overcast,FALSE,FALSE,FALSE,day
3,Sausalito,Marin_CA,CA,45,71,9,15,0.03,Light Rain,FALSE,FALSE,FALSE,night
2,Birmingham,Jefferson_AL,AL,63,46,10,7,0,Cloudy,FALSE,FALSE,FALSE,day
3,Jacksonville,Duval_FL,FL,80.1,67,10,24.2,0,Thunderstorm,FALSE,FALSE,FALSE,day
