State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Alabama,Autauga County,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0.0,55317,27824,13.7,5.2
Alabama,Baldwin County,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0.0,52562,29364,11.8,5.5
Alabama,Barbour County,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0.0,33368,17561,27.2,12.4
Alabama,Bibb County,22580,12251,10329,2.4,74.6,22.0,0.4,0.0,0.0,43404,20911,15.2,8.2
Alabama,Blount County,57667,28490,29177,9.0,87.4,1.5,0.3,0.1,0.0,47412,22021,15.6,4.9
Alabama,Bullock County,10478,5616,4862,0.3,21.6,75.6,1.0,0.7,0.0,29655,20856,28.5,12.1
Alabama,Butler County,20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0.0,36326,19004,24.4,7.6
Alabama,Calhoun County,115527,55593,59934,3.6,72.7,20.4,0.2,1.0,0.0,43686,23638,18.6,10.1
Alabama,Chambers County,33895,16320,17575,2.2,56.2,39.3,0.3,1.0,0.0,37342,22002,18.8,6.4
Alabama,Cherokee County,25855,12862,12993,1.6,91.8,5.0,0.5,0.1,0.0,40041,23010,16.1,5.3
Alabama,Chilton County,43805,21554,22251,7.7,80.4,9.5,0.4,0.4,0.0,43501,23368,19.4,6.7
Alabama,Choctaw County,13188,6277,6911,0.5,56.3,42.1,0.0,0.1,0.0,32122,20994,22.3,9.8
Alabama,Clarke County,24625,11649,12976,0.2,53.0,45.7,0.1,0.5,0.1,33827,20765,25.3,15.2
Alabama,Clay County,13407,6471,6936,3.1,80.2,14.7,0.9,0.0,0.0,37287,21330,19.1,6.4
Alabama,Cleburne County,14939,7367,7572,2.4,92.7,2.8,0.3,0.5,0.0,37396,20873,19.1,7.8
Alabama,Coffee County,51073,25225,25848,6.7,71.0,17.1,1.0,1.3,0.0,49821,26216,16.1,6.0
Alabama,Colbert County,54435,26143,28292,2.4,78.8,15.9,0.7,0.5,0.0,45477,23675,16.8,6.9
Alabama,Conecuh County,12649,6040,6609,1.8,50.3,46.3,0.2,0.0,0.0,30434,16337,26.4,14.5
Alabama,Coosa County,10955,5474,5481,0.1,65.3,33.2,0.1,0.0,0.0,34792,20342,14.4,11.3
Alabama,Covington County,37519,18133,19386,1.6,83.5,13.0,0.3,0.4,0.0,39467,22431,17.6,10.7
Alabama,Crenshaw County,13866,6786,7080,1.8,71.2,23.1,0.8,1.4,0.0,38937,21580,17.6,6.4
Alabama,Cullman County,81703,40223,41480,4.2,92.3,1.1,0.4,0.6,0.0,40997,21857,16.4,5.8
Alabama,Dale County,49393,24524,24869,6.1,69.5,19.2,0.5,0.9,0.0,44711,23194,19.6,10.4
Alabama,Dallas County,40755,18809,21946,1.0,27.7,70.2,0.0,0.4,0.0,30065,18248,31.9,13.7
Alabama,DeKalb County,71194,35328,35866,14.3,80.8,1.4,1.2,0.3,0.1,38842,20020,21.5,5.1
Alabama,Elmore County,80989,39357,41632,2.9,73.4,21.2,0.3,0.6,0.0,54981,26251,13.5,7.3
Alabama,Escambia County,37621,19326,18295,2.2,60.2,32.2,3.6,0.4,0.1,35026,18164,23.8,13.7
Alabama,Etowah County,103132,49738,53394,3.7,78.3,15.4,0.5,0.7,0.1,42064,22278,17.9,7.6
Alabama,Fayette County,16657,8191,8466,1.7,85.0,11.5,0.0,0.5,0.0,36541,21191,18.1,8.4
Alabama,Franklin County,31507,15818,15689,16.3,77.7,4.7,0.2,0.4,0.1,39501,19314,23.0,8.2
Alabama,Geneva County,26572,13008,13564,3.8,84.0,9.2,0.6,0.4,0.0,39293,21084,22.5,8.9
Alabama,Greene County,8533,4058,4475,1.2,17.1,80.3,0.6,0.0,0.0,20954,14197,38.8,14.8
Alabama,Hale County,14995,7049,7946,1.3,39.5,58.7,0.2,0.2,0.0,34679,20269,26.1,11.7
Alabama,Henry County,17110,8208,8902,2.5,68.7,27.8,0.0,0.0,0.0,45569,23983,13.7,6.7
Alabama,Houston County,104108,49905,54203,3.2,67.2,26.5,0.3,0.8,0.0,42803,24781,18.5,7.6
Alabama,Jackson County,52326,25712,26614,2.9,89.3,3.2,1.0,0.5,0.1,39281,20946,19.0,7.7
Alabama,Jefferson County,659460,312333,347127,3.7,50.4,42.4,0.2,1.5,0.0,49321,29456,17.6,7.7
Alabama,Lamar County,14021,6875,7146,1.5,86.0,10.8,0.3,0.0,0.0,36016,21152,23.1,7.9
Alabama,Lauderdale County,92590,44263,48327,2.5,84.9,9.8,0.4,0.7,0.0,44888,25803,16.3,6.6
Alabama,Lawrence County,33288,16164,17124,2.1,76.6,11.4,5.2,0.1,0.0,43779,22419,16.6,7.2
Alabama,Lee County,156597,77172,79425,3.7,67.6,22.9,0.1,3.8,0.0,47564,26170,22.0,5.7
Alabama,Limestone County,91695,45889,45806,5.8,77.2,13.1,0.7,1.2,0.0,52831,26685,14.8,7.1
Alabama,Lowndes County,10362,4896,5466,0.7,24.3,74.4,0.1,0.0,0.0,29785,18976,30.2,11.2
Alabama,Macon County,19358,8933,10425,1.6,15.5,81.5,0.2,0.2,0.0,32308,19564,25.9,14.5
Alabama,Madison County,353213,172568,180645,4.7,65.1,24.0,0.6,2.5,0.1,61318,34232,13.6,6.5
Alabama,Marengo County,19743,9235,10508,0.4,45.1,54.1,0.1,0.0,0.0,32255,22996,25.6,12.8
Alabama,Marion County,30058,14880,15178,2.5,91.9,3.2,0.4,0.3,0.0,35719,21835,17.6,5.5
Alabama,Marshall County,94738,46771,47967,13.3,81.8,2.2,0.5,0.6,0.1,41104,22710,21.0,6.5
Alabama,Mobile County,414328,197968,216360,2.8,57.5,35.2,0.6,1.9,0.0,45802,24347,19.3,7.5
Alabama,Monroe County,21745,10355,11390,1.3,54.5,40.8,1.3,0.5,0.0,26036,17264,33.7,21.6
Alabama,Montgomery County,227120,107470,119650,3.4,35.2,57.1,0.1,2.4,0.0,46545,26712,20.8,7.6
Alabama,Morgan County,119157,58761,60396,8.0,76.4,12.3,0.5,0.7,0.0,47529,25013,16.6,6.5
Alabama,Perry County,9680,4630,5050,0.7,29.4,69.6,0.1,0.2,0.0,22973,13449,41.9,11.8
Alabama,Pickens County,20170,9601,10569,4.1,54.1,40.5,0.1,0.1,0.0,36220,20089,22.9,12.2
Alabama,Pike County,33287,15897,17390,0.8,56.4,37.9,0.6,2.2,0.0,35684,20808,26.3,8.7
Alabama,Randolph County,22530,10998,11532,3.0,75.3,19.4,0.2,0.2,0.2,39485,20983,18.7,5.8
Alabama,Russell County,58480,28424,30056,5.2,47.8,42.4,0.4,0.7,0.2,38988,21279,20.9,9.7
Alabama,St. Clair County,86937,43469,43468,2.3,86.2,9.3,0.2,0.8,0.0,53483,24686,13.7,5.8
Alabama,Shelby County,208721,101420,107301,5.8,78.5,11.7,0.2,1.9,0.0,74063,35330,8.3,4.3
Alabama,Sumter County,13084,6033,7051,0.3,24.6,70.7,0.5,3.0,0.0,21663,14739,36.0,13.4
Alabama,Talladega County,80888,39140,41748,2.2,63.1,32.1,0.3,0.6,0.0,39219,21382,19.3,10.0
Alabama,Tallapoosa County,40756,19616,21140,2.4,68.9,27.2,0.4,0.4,0.0,42181,22430,21.2,9.2
Alabama,Tuscaloosa County,204424,98725,105699,3.5,62.4,31.2,0.1,1.5,0.0,50513,24895,17.3,6.7
Alabama,Walker County,64927,31709,33218,2.4,89.4,6.0,0.1,0.5,0.0,38872,21217,21.5,10.0
