full_name,diameter,rot_per
     1 Ceres,939.4,9.074170
     2 Pallas,545,7.8132
     3 Juno,246.596,7.210
     4 Vesta,525.4,5.34212766
     5 Astraea,106.699,16.806
     6 Hebe,185.18,7.2745
     7 Iris,199.83,7.139
     8 Flora,147.491,12.865
     9 Metis,190,5.079
    10 Hygiea,407.12,27.630
    11 Parthenope,142.887,13.7204
    12 Victoria,115.087,8.6599
    13 Egeria,222.792,7.045
    14 Irene,152,15.028
    15 Eunomia,231.689,6.083
    17 Thetis,84.899,12.27048
    18 Melpomene,139.594,11.570
    19 Fortuna,200,7.4432
    20 Massalia,135.680,8.098
    21 Lutetia,95.76,8.1655
    22 Kalliope,167.536,4.1483
    23 Thalia,107.53,12.312
    24 Themis,198,8.374
    25 Phocaea,61.054,9.9341
    26 Proserpina,94.80,13.110
    27 Euterpe,96,10.4082
    28 Bellona,120.90,15.706
    29 Amphitrite,189.559,5.3921
    30 Urania,92.787,13.686
    31 Euphrosyne,267.080,5.530
    32 Pomona,80.76,9.448
    33 Polyhymnia,52.929,18.608
    34 Circe,132.992,12.15
    35 Leukothea,103.055,31.900
    36 Atalante,115.204,9.93
    37 Fides,108.35,7.3335
    38 Leda,92.255,12.838
    39 Laetitia,179.484,5.138
    40 Harmonia,111.251,8.910
    41 Daphne,205.495,5.988
    42 Isis,110.997,13.590
    43 Ariadne,71.340,5.76218
    44 Nysa,70.64,6.422
    45 Eugenia,202.327,5.699
    46 Hestia,112.414,21.040
    47 Aglaja,168.174,13.178
    48 Doris,216.473,11.89
    49 Pales,166.252,20.705
    50 Virginia,84.074,14.315
    51 Nemausa,138.159,7.783
    52 Europa,303.918,5.6304
    53 Kalypso,90.893,9.036
    54 Alexandra,154.137,7.024
    55 Pandora,84.794,4.8040
    56 Melete,121.333,18.147
    57 Mnemosyne,112.59,12.463
    58 Concordia,106.517,9.895
    59 Elpis,165.119,13.671
    60 Echo,43.218,25.208
    61 Danae,85.937,11.45
    62 Erato,106.921,9.2213
    63 Ausonia,116.044,9.298
    64 Angelina,58.292,8.752
    65 Cybele,237.26,6.0814
    66 Maja,71.82,9.73509
    67 Asia,56.309,15.853
    68 Leto,122.509,14.848
    69 Hesperia,138.13,5.655
    70 Panopaea,127.911,15.8052
    71 Niobe,83.42,35.864
    72 Feronia,74.966,8.097
    73 Klytia,44.590,8.297
    74 Galatea,118.71,17.268
    75 Eurydike,62.377,5.357
    76 Freia,145.423,9.973
    77 Frigga,61.390,9.012
    78 Diana,120.60,7.2991
    79 Eurynome,63.479,5.978
    80 Sappho,68.563,14.030
    81 Terpsichore,117.727,10.943
    82 Alkmene,57.621,12.999
    83 Beatrix,110.503,10.16
    84 Klio,79.16,23.562
    85 Io,154.79,6.875
    86 Semele,109.929,16.634
    87 Sylvia,253.051,5.184
    88 Thisbe,232,6.042
    89 Julia,145.483,11.387
    90 Antiope,115.974,16.509
    91 Aegina,103.402,6.025
    92 Undina,126.42,15.941
    93 Minerva,154.155,5.982
    94 Aurora,204.89,7.22
    95 Arethusa,147.969,8.705
    96 Aegle,177.774,13.868
    97 Klotho,100.717,35.15
    98 Ianthe,132.788,16.479
    99 Dike,67.354,18.127
   100 Hekate,85.734,27.066
   101 Helena,65.84,23.080
   102 Miriam,82.595,23.613
   103 Hera,83.908,23.740
   104 Klymene,136.553,8.984
   105 Artemis,112.326,37.15506
   106 Dione,207.869,16.210
   107 Camilla,254,4.844
   108 Hecuba,75.498,14.256
   109 Felicitas,82.588,13.191
   110 Lydia,86.09,10.927
   111 Ate,126.344,22.072
   112 Iphigenia,69.818,31.466
   113 Amalthea,50.137,9.950
   114 Kassandra,94.178,10.7431
   115 Thyra,79.83,7.241
   116 Sirona,71.70,12.028
   117 Lomia,208.974,9.127
   118 Peitho,40.211,7.8055
   119 Althaea,57.30,11.484
   120 Lachesis,155.132,46.551
   121 Hermione,209.00,5.55128
   122 Gerda,70.676,10.685
   123 Brunhild,45.209,9.873
   124 Alkeste,88.648,9.906
   125 Liberatrix,48.418,3.968
   126 Velleda,44.82,5.3672
   127 Johanna,122,12.7988
   128 Nemesis,162.515,77.81
   129 Antigone,113,4.9572
   130 Elektra,180.652,5.225
   131 Vala,31.337,5.1812
   132 Aethra,42.87,5.1684
   133 Cyrene,72.175,12.708
   134 Sophrosyne,108,17.196
