Player,height,weight,collage,born
Dragan Bender,216,102,,1997
Marquese Chriss,208,105,University of Washington,1997
Henry Ellenson,211,111,Marquette University,1997
Brandon Ingram,206,86,Duke University,1997
Thon Maker,216,97,,1997
Jamal Murray,193,93,University of Kentucky,1997
Georgios Papagiannis,216,108,,1997
Diamond Stone,211,115,University of Maryland,1997
Edy Tavares,211,115,,1997
Ivica Zubac,216,120,,1997
Devin Booker,198,93,University of Kentucky,1996
Tyus Jones,188,88,Duke University,1996
Kevon Looney,206,99,University of California; Los Angeles,1996
Emmanuel Mudiay,196,90,,1996
Xavier Munford,196,90,,1996
Myles Turner,211,110,University of Texas at Austin,1996
Rashad Vaughn,198,91,University of Nevada; Las Vegas,1996
Justise Winslow,201,102,Duke University,1996
Wade Baldwin,193,91,Vanderbilt University,1996
Malik Beasley,196,88,Florida State University,1996
Deyonta Davis,211,107,Michigan State University,1996
Cheick Diallo,206,99,University of Kansas,1996
Skal Labissiere,211,102,University of Kentucky,1996
Dejounte Murray,196,77,University of Washington,1996
Chinanu Onuaku,208,111,University of Louisville,1996
Malachi Richardson,198,92,Syracuse University,1996
Domantas Sabonis,211,108,Gonzaga University,1996
Tyler Ulis,178,68,University of Kentucky,1996
Stephen Zimmerman,213,108,University of Nevada; Las Vegas,1996
Bruno Caboclo,206,98,,1995
Clint Capela,206,98,,1995
Dante Exum,198,86,,1995
Aaron Gordon,206,99,University of Arizona,1995
Zach LaVine,196,85,University of California; Los Angeles,1995
Jabari Parker,203,113,Duke University,1995
Noah Vonleh,208,108,Indiana University,1995
T.J. Warren,208,108,,1995
Andrew Wiggins,203,90,University of Kansas,1995
C.J. Wilcox,203,90,,1995
James Young,198,97,University of Kentucky,1995
Cliff Alexander,203,111,University of Kansas,1995
Mario Hezonja,203,97,,1995
Rondae Hollis-Jefferson,201,99,University of Arizona,1995
Damien Inglis,203,111,,1995
Nikola Jokic,208,113,,1995
Trey Lyles,208,106,University of Kentucky,1995
Chris McCullough,211,90,Syracuse University,1995
Jahlil Okafor,211,124,Duke University,1995
Kelly Oubre,201,92,University of Kansas,1995
Bobby Portis,211,104,University of Arkansas,1995
Kristaps Porzingis,221,108,,1995
Karl-Anthony Towns,213,110,University of Kentucky,1995
Christian Wood,211,99,University of Nevada; Las Vegas,1995
Ben Bentil,206,106,Providence College,1995
Kay Felder,175,79,Oakland University,1995
Juan Hernangomez,206,104,,1995
Timothe Luwawu-Cabarrot,198,92,,1995
Patrick McCaw,201,83,University of Nevada; Las Vegas,1995
Jakob Poeltl,213,112,University of Utah,1995
Isaiah Whitehead,193,96,Seton Hall University,1995
Giannis Antetokounmpo,211,100,,1994
Archie Goodwin,196,90,University of Kentucky,1994
Jordan Adams,196,94,University of California; Los Angeles,1994
Tyler Ennis,190,87,Syracuse University,1994
Jerami Grant,203,95,Syracuse University,1994
Gary Harris,193,95,Michigan State University,1994
Nerlens Noel,211,103,University of Kentucky,1994
Jusuf Nurkic,213,127,,1994
Elfrid Payton,193,83,University of Louisiana at Lafayette,1994
Julius Randle,206,113,University of Kentucky,1994
Marcus Smart,193,99,Oklahoma State University,1994
Jarnell Stokes,206,119,University of Tennessee,1994
Sam Dekker,206,104,University of Wisconsin,1994
Jerian Grant,203,95,Syracuse University,1994
Montrezl Harrell,203,108,University of Louisville,1994
Aaron Harrison,198,95,University of Kentucky,1994
Jarell Martin,208,108,Louisiana State University,1994
T.J. McConnell,208,108,,1994
Jordan Mickey,203,106,Louisiana State University,1994
Cameron Payne,190,83,Murray State University,1994
Terry Rozier,188,86,University of Louisville,1994
D'Angelo Russell,188,86,,1994
DeAndre' Bembry,198,95,Saint Joseph's University,1994
Joel Bolomboy,206,106,Weber State University,1994
Kris Dunn,193,95,Providence College,1994
Joel Embiid,213,113,University of Kansas,1994
Marcus Georges-Hunt,196,97,Georgia Institute of Technology,1994
Andrew Harrison,198,96,University of Kentucky,1994
Willy Hernangomez,211,108,,1994
Demetrius Jackson,185,91,University of Notre Dame,1994
Jake Layman,206,95,University of Maryland,1994
Caris LeVert,201,92,University of Michigan,1994
Tim Quarterman,198,88,Louisiana State University,1994
Dario Saric,208,101,,1994
Wayne Selden,196,104,University of Kansas,1994
Pascal Siakam,206,104,New Mexico State University,1994
Isaiah Taylor,190,77,University of Texas at Austin,1994
Mike Tobey,213,117,University of Virginia,1994
Fred VanVleet,183,88,Wichita State University,1994
Taurean Waller-Prince,183,88,,1994
Paul Zipser,203,97,,1994
Bradley Beal,196,93,University of Florida,1993
Andre Drummond,211,126,University of Connecticut,1993
Maurice Harkless,206,97,St. John's University,1993
Michael Kidd-Gilchrist,201,105,University of Kentucky,1993
Marquis Teague,188,85,University of Kentucky,1993
Tony Wroten,198,92,University of Washington,1993
Steven Adams,213,115,University of Pittsburgh,1993
Anthony Bennett,203,111,University of Nevada; Las Vegas,1993
Kentavious Caldwell-Pope,196,92,University of Georgia,1993
Sergey Karasev,201,94,,1993
Alex Len,216,117,University of Maryland,1993
Ben McLemore,196,88,University of Kansas,1993
Otto Porter,203,89,Georgetown University,1993
Dennis Schroder,185,78,,1993
Adonis Thomas,201,90,University of Memphis,1993
