DateOfBite,Breed,Age,Gender,SpayNeuter,Borough
January 02 2015,Poodle; Standard,3,M,TRUE,Brooklyn
January 01 2015,American Pit Bull Terrier/Pit Bull,6,M,FALSE,Brooklyn
January 03 2015,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn
January 05 2015,American Pit Bull Terrier/Pit Bull,1,F,FALSE,Brooklyn
January 04 2015,MORKIE,1,M,FALSE,Brooklyn
January 05 2015,Chihuahua,1,M,FALSE,Brooklyn
January 05 2015,Shih Tzu,4,F,FALSE,Brooklyn
January 05 2015,Shih Tzu,3,M,TRUE,Brooklyn
January 09 2015,Pit Bull,2,M,TRUE,Brooklyn
January 10 2015,Mixed/Other,7,M,TRUE,Brooklyn
January 10 2015,Yorkshire Terrier,1,F,FALSE,Brooklyn
January 13 2015,Dachshund Smooth Coat,12,M,TRUE,Brooklyn
January 16 2015,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn
January 12 2015,Shih Tzu,2,M,FALSE,Brooklyn
January 22 2015,Labrador Retriever,5,M,TRUE,Brooklyn
January 27 2015,Jack Russ,11,M,FALSE,Brooklyn
January 25 2015,Chihuahua,1,F,FALSE,Brooklyn
January 31 2015,Chihuahua Crossbreed,3,M,FALSE,Brooklyn
January 23 2015,German Shepherd,4,M,FALSE,Brooklyn
February 04 2015,Pomeranian,1,F,FALSE,Brooklyn
February 05 2015,Dalmatian,10,M,TRUE,Brooklyn
February 06 2015,Shiba Inu,3,M,FALSE,Brooklyn
February 07 2015,Pit Bull,5,M,TRUE,Brooklyn
February 07 2015,RAT TERRIER,5,M,TRUE,Brooklyn
January 27 2015,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn
February 11 2015,Staffordshire Bull Terrier,4,M,FALSE,Brooklyn
February 11 2015,RAT TERRIER,13,F,TRUE,Brooklyn
February 09 2015,American Pit Bull Terrier/Pit Bull,10,F,TRUE,Brooklyn
February 12 2015,German Shepherd,4,M,FALSE,Brooklyn
February 13 2015,American Pit Bull Terrier/Pit Bull,4,M,TRUE,Brooklyn
February 15 2015,American Pit Bull Mix / Pit Bull Mix,1,M,FALSE,Brooklyn
February 18 2015,Yorkshire Terrier,3,M,FALSE,Brooklyn
February 17 2015,American Pit Bull Terrier/Pit Bull,5,M,FALSE,Brooklyn
February 06 2015,Shiba Inu,3,M,FALSE,Brooklyn
February 22 2015,Pit Bull,10,M,TRUE,Brooklyn
February 24 2015,Pit Bull,1,F,FALSE,Brooklyn
February 24 2015,Pit Bull,10,F,TRUE,Brooklyn
February 22 2015,FOX HOUND,3,F,TRUE,Brooklyn
February 26 2015,Pit Bull,1,M,FALSE,Brooklyn
February 28 2015,Weimaraner,11,M,TRUE,Brooklyn
March 01 2015,American Pit Bull Mix / Pit Bull Mix,6,F,TRUE,Brooklyn
February 28 2015,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn
March 06 2015,American Pit Bull Mix / Pit Bull Mix,10,F,FALSE,Brooklyn
March 07 2015,Bull Dog; English,2,M,TRUE,Brooklyn
February 27 2015,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn
March 07 2015,BULLDOG/SHARPEI,11,M,TRUE,Brooklyn
March 08 2015,Shih Tzu,4,M,FALSE,Brooklyn
February 26 2015,Pit Bull,2,M,FALSE,Brooklyn
March 13 2015,Pug,6,M,TRUE,Brooklyn
March 15 2015,Yorkshire Terrier,4,M,FALSE,Brooklyn
March 14 2015,Chow Chow,3,M,FALSE,Brooklyn
March 15 2015,American Staffordshire Terrier,8,M,TRUE,Brooklyn
March 14 2015,SHEPHERD MIX,5,M,TRUE,Brooklyn
March 16 2015,Maltese,7,M,TRUE,Brooklyn
March 18 2015,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Brooklyn
March 16 2015,Yorkshire Terrier,1,M,FALSE,Brooklyn
March 16 2015,American Pit Bull Mix / Pit Bull Mix,2,M,TRUE,Brooklyn
March 22 2015,Shih Tzu,2,M,FALSE,Brooklyn
March 21 2015,Doberman Pinscher,8,F,FALSE,Brooklyn
March 22 2015,Shih Tzu,7,M,TRUE,Brooklyn
