SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS
M015,P.S. 015 Roberto Clemente,1,GEN ED,17,1,17,17,17
M015,P.S. 015 Roberto Clemente,1,CTT,17,1,17,17,17
M019,P.S. 019 Asher Levy,1,GEN ED,39,2,19.5,19,20
M019,P.S. 019 Asher Levy,1,CTT,13,1,13,13,13
M020,P.S. 020 Anna Silver,1,GEN ED,69,3,23,22,24
M020,P.S. 020 Anna Silver,1,CTT,21,1,21,21,21
M034,P.S. 034 Franklin D. Roosevelt,1,GEN ED,16,1,16,16,16
M034,P.S. 034 Franklin D. Roosevelt,1,CTT,14,1,14,14,14
M063,P.S. 063 William McKinley,1,CTT,23,1,23,23,23
M064,P.S. 064 Robert Simon,1,GEN ED,24,1,24,24,24
M064,P.S. 064 Robert Simon,1,CTT,20,1,20,20,20
M110,P.S. 110 Florence Nightingale,1,GEN ED,45,2,22.5,22,23
M110,P.S. 110 Florence Nightingale,1,CTT,22,1,22,22,22
M134,P.S. 134 Henrietta Szold,1,GEN ED,54,3,18,14,21
M137,P.S. 137 John L. Bernstein,1,GEN ED,35,2,17.5,14,21
M140,P.S. 140 Nathan Straus,1,GEN ED,20,1,20,20,20
M142,P.S. 142 Amalia Castro,1,GEN ED,46,2,23,22,24
M142,P.S. 142 Amalia Castro,1,CTT,20,1,20,20,20
M184,P.S. 184m Shuang Wen,1,GEN ED,74,3,24.7,24,25
M184,P.S. 184m Shuang Wen,1,CTT,22,1,22,22,22
M188,P.S. 188 The Island School,1,GEN ED,19,1,19,19,19
M315,The East Village Community School,1,GEN ED,22,1,22,22,22
M315,The East Village Community School,1,CTT,24,1,24,24,24
M361,The Children's Workshop School,1,GEN ED,43,3,14.3,9,23
M363,Neighborhood School,1,GEN ED,38,3,12.7,11,14
M363,Neighborhood School,1,CTT,12,1,12,12,12
M539,New Explorations into Science; Technology and Math High School,1,GEN ED,101,4,25.3,24,26
M539,New Explorations into Science; Technology and Math High School,1,G&T,25,1,25,25,25
M001,P.S. 001 Alfred E. Smith,1,GEN ED,81,4,20.3,20,21
M002,P.S. 002 Meyer London,1,GEN ED,102,5,20.4,19,22
M002,P.S. 002 Meyer London,1,CTT,20,1,20,20,20
M003,P.S. 003 Charrette School,1,GEN ED,23,1,23,23,23
M006,P.S. 006 Lillie D. Blake,1,GEN ED,102,4,25.5,25,26
M006,P.S. 006 Lillie D. Blake,1,CTT,24,1,24,24,24
M011,P.S. 011 William T. Harris,1,GEN ED,41,2,20.5,20,21
M011,P.S. 011 William T. Harris,1,CTT,24,1,24,24,24
M011,P.S. 011 William T. Harris,1,G&T,41,2,20.5,20,21
M033,P.S. 033 Chelsea Prep,1,GEN ED,47,3,15.7,14,17
M033,P.S. 033 Chelsea Prep,1,G&T,15,1,15,15,15
M040,P.S. 040 Augustus Saint-Gaudens,1,GEN ED,75,3,25,24,26
M040,P.S. 040 Augustus Saint-Gaudens,1,CTT,24,1,24,24,24
M041,P.S. 041 Greenwich Village,1,GEN ED,127,5,25.4,24,26
M041,P.S. 041 Greenwich Village,1,CTT,26,1,26,26,26
M042,P.S. 042 Benjamin Altman,1,GEN ED,120,5,24,23,25
M051,P.S. 051 Elias Howe,1,GEN ED,27,1,27,27,27
M051,P.S. 051 Elias Howe,1,CTT,28,1,28,28,28
M059,P.S. 059 Beekman Hill International,1,GEN ED,72,3,24,24,24
M059,P.S. 059 Beekman Hill International,1,CTT,24,1,24,24,24
M077,P.S. 77 Lower Lab School,1,G&T,58,2,29,29,29
M089,P.S. 89,1,GEN ED,41,2,20.5,20,21
M089,P.S. 89,1,CTT,20,1,20,20,20
M111,P.S. 111 Adolph S. Ochs,1,GEN ED,41,2,20.5,20,21
M111,P.S. 111 Adolph S. Ochs,1,CTT,22,1,22,22,22
M116,P.S. 116 Mary Lindley Murray,1,GEN ED,101,5,20.2,20,21
M116,P.S. 116 Mary Lindley Murray,1,CTT,24,1,24,24,24
M124,P.S. 124 Yung Wing,1,GEN ED,102,4,25.5,25,26
M124,P.S. 124 Yung Wing,1,CTT,19,1,19,19,19
M124,P.S. 124 Yung Wing,1,G&T,25,1,25,25,25
M126,P.S. 126 Jacob August Riis,1,GEN ED,45,2,22.5,21,24
M126,P.S. 126 Jacob August Riis,1,CTT,21,1,21,21,21
M130,P.S. 130 Hernando De Soto,1,GEN ED,125,5,25,19,28
M130,P.S. 130 Hernando De Soto,1,G&T,26,1,26,26,26
M150,P.S. 150,1,GEN ED,28,1,28,28,28
M151,Yorkville Community School,1,GEN ED,61,3,20.3,19,22
M151,Yorkville Community School,1,CTT,22,1,22,22,22
M158,P.S. 158 Bayard Taylor,1,GEN ED,97,4,24.3,22,26
M158,P.S. 158 Bayard Taylor,1,CTT,25,1,25,25,25
M183,P.S. 183 Robert L. Stevenson,1,GEN ED,101,4,25.3,24,27
M183,P.S. 183 Robert L. Stevenson,1,CTT,24,1,24,24,24
M198,P.S. 198 Isador E. Ida Straus,1,GEN ED,46,2,23,22,24
M198,P.S. 198 Isador E. Ida Straus,1,CTT,20,1,20,20,20
M212,P.S. 212 Midtown West,1,GEN ED,55,2,27.5,27,28
M217,P.S./I.S. 217 Roosevelt Island,1,GEN ED,35,2,17.5,17,18
M217,P.S./I.S. 217 Roosevelt Island,1,G&T,20,1,20,20,20
M225,Ella Baker School,1,GEN ED,38,3,12.7,12,13
M234,P.S. 234 Independence School,1,GEN ED,97,4,24.3,24,25
M234,P.S. 234 Independence School,1,CTT,24,1,24,24,24
M276,BATTERY PARK CITY SCHOOL,1,GEN ED,67,3,22.3,22,23
M290,P.S. 290 Manhattan New School,1,GEN ED,101,4,25.3,25,26
M290,P.S. 290 Manhattan New School,1,CTT,25,1,25,25,25
M347,The 47 American Sign Language & English Lower School,1,CTT,15,1,15,15,15
M397,SPRUCE STREET SCHOOL,1,GEN ED,51,2,25.5,25,26
M009,P.S. 009 Sarah Anderson,1,GEN ED,48,2,24,23,25
M009,P.S. 009 Sarah Anderson,1,CTT,22,1,22,22,22
M009,P.S. 009 Sarah Anderson,1,G&T,52,2,26,26,26
M075,P.S. 075 Emily Dickinson,1,GEN ED,98,4,24.5,23,26
M075,P.S. 075 Emily Dickinson,1,CTT,22,1,22,22,22
M076,P.S. 076 A. Philip Randolph,1,GEN ED,48,2,24,24,24
M084,P.S. 084 Lillian Weber,1,GEN ED,81,3,27,26,28
M084,P.S. 084 Lillian Weber,1,CTT,25,1,25,25,25
M087,P.S. 087 William Sherman,1,GEN ED,143,6,23.8,22,26
M087,P.S. 087 William Sherman,1,CTT,48,2,24,23,25
M145,P.S. 145; The Bloomingdale School,1,GEN ED,53,2,26.5,24,29
M149,P.S. 149 Sojourner Truth,1,GEN ED,27,1,27,27,27
M149,P.S. 149 Sojourner Truth,1,CTT,27,1,27,27,27
M163,P.S. 163 Alfred E. Smith,1,GEN ED,57,3,19,19,19
M163,P.S. 163 Alfred E. Smith,1,CTT,20,1,20,20,20
M163,P.S. 163 Alfred E. Smith,1,G&T,40,2,20,19,21
M165,P.S. 165 Robert E. Simon,1,GEN ED,63,3,21,17,27
M165,P.S. 165 Robert E. Simon,1,CTT,27,1,27,27,27
M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,1,GEN ED,45,2,22.5,20,25
M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,1,G&T,54,2,27,27,27
M180,P.S. 180 Hugo Newman,1,GEN ED,73,4,18.3,17,20
M185,P.S. 185 John M. Langston,1,GEN ED,39,2,19.5,18,21
M185,P.S. 185 John M. Langston,1,CTT,18,1,18,18,18
M191,P.S. 191 Amsterdam,1,GEN ED,45,2,22.5,22,23
M199,P.S. 199 Jessie Isador Straus,1,GEN ED,155,7,22.1,20,24
M241,P.S. 241 Family Academy,1,GEN ED,16,1,16,16,16
M242,PS M242-Gwendolyn Powell Brown Computer School,1,GEN ED,15,1,15,15,15
M242,PS M242-Gwendolyn Powell Brown Computer School,1,CTT,18,1,18,18,18
M333,P.S. 333 Manhattan School for Children,1,GEN ED,68,3,22.7,22,23
M333,P.S. 333 Manhattan School for Children,1,CTT,18,1,18,18,18
M334,The Anderson School,1,G&T,78,3,26,26,26
M859,Special Music School,1,GEN ED,16,1,16,16,16
M007,P.S. 007 Samuel Stern,1,GEN ED,24,1,24,24,24
M007,P.S. 007 Samuel Stern,1,CTT,24,1,24,24,24
M012,Tag Young Scholars,1,GEN ED,58,2,29,28,30
M037,River East Elementary,1,GEN ED,21,1,21,21,21
M037,River East Elementary,1,CTT,24,1,24,24,24
M038,P.S. 38 Roberto Clemente,1,GEN ED,18,1,18,18,18
M038,P.S. 38 Roberto Clemente,1,CTT,17,1,17,17,17
M050,P.S. 050 Vito Marcantonio,1,GEN ED,26,1,26,26,26
M057,James Weldon Johnson,1,GEN ED,77,4,19.3,19,20
M057,James Weldon Johnson,1,CTT,19,1,19,19,19
M072,The Lexington Academy,1,GEN ED,54,3,18,15,20
