"StationID","Date","pH","PrecipAmt","PrecipType"
"Mt. Mansfield","1980-06-06","4.45","1.20","Rain"
"Mt. Mansfield","1980-07-12","5.40","0.04","Rain"
"Mt. Mansfield","1980-07-16","3.50","0.51","Rain"
"Mt. Mansfield","1980-07-18","3.22","0.05","Rain"
"Mt. Mansfield","1980-07-22","3.44","1.18","Rain"
"Mt. Mansfield","1980-07-23","4.00","0.34","Rain"
"Mt. Mansfield","1980-07-24","4.25","0.16","Rain"
"Mt. Mansfield","1980-07-26","3.50","0.05","Rain"
"Mt. Mansfield","1980-07-28","4.26","0.63","Rain"
"Mt. Mansfield","1980-07-29","4.00","0.12","Rain"
"Mt. Mansfield","1980-07-30","4.13","0.60","Rain"
"Mt. Mansfield","1980-08-01","3.72","1.02","Rain"
"Mt. Mansfield","1980-08-02","3.71","0.95","Rain"
"Mt. Mansfield","1980-08-09","3.82","0.15","Rain"
"Mt. Mansfield","1980-08-14","3.72","0.33","Rain"
"Mt. Mansfield","1980-08-15","4.10","0.38","Rain"
"Mt. Mansfield","1980-08-16","4.49","0.65","Rain"
"Mt. Mansfield","1980-08-28","3.55","0.98","Rain"
"Mt. Mansfield","1980-08-31","3.40","0.87","Rain"
"Mt. Mansfield","1980-09-01","3.60","0.55","Rain"
"Mt. Mansfield","1980-09-02","3.88","1.09","Rain"
"Mt. Mansfield","1980-09-06","3.84","0.26","Rain"
"Mt. Mansfield","1980-09-11","3.82","0.51","Rain"
"Mt. Mansfield","1980-09-13","5.39","0.06","Rain"
"Mt. Mansfield","1980-09-14","3.80","1.31","Rain"
"Mt. Mansfield","1980-09-18","4.05","1.91","Rain"
"Mt. Mansfield","1980-09-20","3.51","0.36","Rain"
"Mt. Mansfield","1980-09-23","3.86","2.16","Rain"
"Mt. Mansfield","1980-10-02","4.07","0.63","Rain"
"Mt. Mansfield","1980-10-03","3.96","0.46","Rain"
"Mt. Mansfield","1980-10-04","4.61","0.36","Rain"
"Mt. Mansfield","1980-10-05","4.04","0.12","Rain"
"Mt. Mansfield","1980-10-11","4.05","0.25","Rain"
"Mt. Mansfield","1980-10-12","4.61","0.44","Rain"
"Mt. Mansfield","1980-10-16","4.00","0.57","Snow"
"Mt. Mansfield","1980-10-18","3.64","0.11","Rain"
"Mt. Mansfield","1980-10-19","3.98","0.01","Rain"
"Mt. Mansfield","1980-10-24","4.30","0.25","Snow"
"Mt. Mansfield","1980-10-26","4.70","1.68","Rain"
"Mt. Mansfield","1980-11-01","4.65","0.08","Snow"
"Mt. Mansfield","1980-11-08","4.12","0.88","Snow"
"Mt. Mansfield","1980-11-09","4.22","0.19","Rain"
"Mt. Mansfield","1980-11-21","4.80","0.91","Snow"
"Mt. Mansfield","1980-11-29","4.17","0.70","Snow"
"Mt. Mansfield","1981-02-02","3.96","1.45",""
"Mt. Mansfield","1981-02-08","4.00","0.20",""
"Mt. Mansfield","1981-02-12","4.50","1.18",""
"Mt. Mansfield","1981-02-20","4.06","0.19",""
"Mt. Mansfield","1981-02-21","4.50","0.32",""
"Mt. Mansfield","1981-02-22","4.00","0.07",""
"Mt. Mansfield","1981-02-26","4.62","0.90",""
"Mt. Mansfield","1981-02-27","5.08","1.57",""
"Mt. Mansfield","1981-03-01","3.85","0.80",""
"Mt. Mansfield","1981-03-07","4.55","0.30",""
"Mt. Mansfield","1981-03-12","4.30","0.61",""
"Mt. Mansfield","1981-03-27","3.84","0.55",""
"Mt. Mansfield","1981-04-02","4.00","1.43",""
"Mt. Mansfield","1981-04-04","3.85","0.14",""
"Mt. Mansfield","1981-04-05","3.98","0.44",""
"Mt. Mansfield","1981-04-07","3.96","0.79",""
"Mt. Mansfield","1981-04-11","3.77","0.60",""
"Mt. Mansfield","1981-04-17","3.86","0.37",""
"Mt. Mansfield","1981-04-18","4.03","1.10",""
"Mt. Mansfield","1981-04-23","4.11","1.56",""
"Mt. Mansfield","1981-04-24","3.91","1.12",""
"Mt. Mansfield","1981-04-30","3.80","0.35",""
"Mt. Mansfield","1981-05-07","3.75","0.07",""
"Mt. Mansfield","1981-05-14","4.04","1.71",""
"Mt. Mansfield","1981-05-16","4.03","0.73",""
"Mt. Mansfield","1981-05-17","4.58","1.66",""
"Mt. Mansfield","1981-05-22","4.29","0.01",""
"Mt. Mansfield","1981-05-28","3.97","0.85",""
"Mt. Mansfield","1981-05-29","4.23","0.03",""
"Mt. Mansfield","1981-05-30","3.88","0.53",""
"Mt. Mansfield","1981-05-31","4.16","0.85",""
"Mt. Mansfield","1981-06-04","4.09","1.24",""
"Mt. Mansfield","1981-06-06","4.12","0.85",""
"Mt. Mansfield","1981-06-07","4.41","1.11",""
"Mt. Mansfield","1981-06-11","3.95","1.48",""
"Mt. Mansfield","1981-06-14","4.38","0.15",""
"Mt. Mansfield","1981-06-17","3.50","0.41",""
"Mt. Mansfield","1981-06-20","3.47","0.16",""
"Mt. Mansfield","1981-06-25","3.95","0.89",""
"Mt. Mansfield","1981-06-26","4.33","0.52",""
"Mt. Mansfield","1981-06-27","4.40","1.58",""
"Mt. Mansfield","1981-07-05","3.75","0.18",""
"Mt. Mansfield","1981-07-09","3.88","1.32",""
"Mt. Mansfield","1981-07-16","4.08","2.56",""
"Mt. Mansfield","1981-07-18","4.10","0.33",""
"Mt. Mansfield","1981-07-24","3.56","0.56",""
"Mt. Mansfield","1981-07-30","4.20","2.79",""
"Mt. Mansfield","1981-08-03","3.40","0.19",""
"Mt. Mansfield","1981-08-06","3.90","2.69",""
"Mt. Mansfield","1981-08-08","3.67","0.28",""
"Mt. Mansfield","1981-08-10","4.10","1.15",""
"Mt. Mansfield","1981-08-13","3.55","0.52",""
"Mt. Mansfield","1981-08-15","3.99","0.85",""
"Mt. Mansfield","1981-08-16","4.30","2.54",""
"Mt. Mansfield","1981-08-17","4.05","4.70",""
"Mt. Mansfield","1981-08-27","3.90","0.26",""
"Mt. Mansfield","1981-08-30","3.20","0.07",""
"Mt. Mansfield","1981-09-10","4.40","3.55",""
"Mt. Mansfield","1981-09-20","3.80","0.70",""
"Mt. Mansfield","1981-09-24","4.48","3.01",""
"Mt. Mansfield","1981-09-25","4.30","0.25",""
"Mt. Mansfield","1981-10-02","3.85","0.55",""
"Mt. Mansfield","1981-10-03","4.13","2.21",""
"Mt. Mansfield","1981-10-04","4.10","0.20",""
"Mt. Mansfield","1981-10-08","4.35","1.39",""
"Mt. Mansfield","1981-10-18","4.50","0.34",""
"Mt. Mansfield","1981-10-22","3.95","1.11",""
"Mt. Mansfield","1981-10-23","3.90","0.55",""
"Mt. Mansfield","1981-10-25","4.05","0.82",""
"Mt. Mansfield","1981-10-27","3.90","1.93",""
"Mt. Mansfield","1981-10-29","4.50","0.56",""
"Mt. Mansfield","1981-11-05","3.74","0.27",""
"Mt. Mansfield","1981-11-06","4.35","1.00",""
"Mt. Mansfield","1981-11-07","5.15","1.10",""
"Mt. Mansfield","1981-11-20","4.96","1.30",""
"Mt. Mansfield","1981-11-22","5.25","1.24",""
"Mt. Mansfield","1981-11-29","5.10","1.26",""
"Mt. Mansfield","1981-12-04","4.20","0.24",""
"Mt. Mansfield","1981-12-06","4.80","1.00",""
"Mt. Mansfield","1981-12-12","4.92","0.10",""
"Mt. Mansfield","1982-01-03","4.85","0.23","Snow"
"Mt. Mansfield","1982-01-07","4.30","0.37","Snow"
"Mt. Mansfield","1982-01-24","4.20","0.44","Snow"
"Mt. Mansfield","1982-01-28","4.40","0.05","Snow"
"Mt. Mansfield","1982-01-30","5.40","0.26","Snow"
"Mt. Mansfield","1982-02-06","4.10","0.41","Snow"
"Mt. Mansfield","1982-02-11","4.24","0.53","Snow"
"Mt. Mansfield","1982-02-14","4.35","0.12","Snow"
"Mt. Mansfield","1982-02-20","4.16","0.20","Snow"
"Mt. Mansfield","1982-02-28","4.15","0.03","Snow"
"Mt. Mansfield","1982-03-23","4.20","0.90","Snow"
"Mt. Mansfield","1982-03-27","4.55","0.74","Snow"
"Mt. Mansfield","1982-04-04","4.80","0.87","Snow"
"Mt. Mansfield","1982-04-18","4.82","0.80","Rain"
"Mt. Mansfield","1982-04-27","5.00","0.05","Rain"
"Mt. Mansfield","1982-05-09","4.06","0.31","Rain"
"Mt. Mansfield","1982-05-20","4.00","0.98","Rain"
"Mt. Mansfield","1982-05-24","4.30","0.06","Rain"
"Mt. Mansfield","1982-06-02","4.63","1.80","Rain"
"Mt. Mansfield","1982-06-06","4.50","0.75","Rain"
"Mt. Mansfield","1982-06-17","4.01","0.60","Rain"
"Mt. Mansfield","1982-06-19","4.07","0.55","Rain"
"Mt. Mansfield","1982-06-20","3.82","0.17","Rain"
"Mt. Mansfield","1982-06-24","4.52","2.10","Rain"
"Mt. Mansfield","1982-06-25","4.42","0.12","Rain"
"Mt. Mansfield","1982-06-26","4.04","0.46","Rain"
"Mt. Mansfield","1982-07-02","4.50","1.16","Rain"
"Mt. Mansfield","1982-07-03","4.76","0.42","Rain"
"Mt. Mansfield","1982-07-18","3.90","0.12","Rain"
"Mt. Mansfield","1982-07-29","4.70","2.01","Rain"
"Mt. Mansfield","1982-07-31","3.99","0.55","Rain"
"Mt. Mansfield","1982-08-05","3.90","0.60","Rain"
"Mt. Mansfield","1982-08-13","4.05","1.14","Rain"
"Mt. Mansfield","1982-08-15","4.47","0.43","Rain"
"Mt. Mansfield","1982-08-17","4.40","0.25","Rain"
"Mt. Mansfield","1982-08-20","4.37","0.33","Rain"
"Mt. Mansfield","1982-08-26","4.12","3.33","Rain"
"Mt. Mansfield","1982-08-28","4.06","0.45","Rain"
"Mt. Mansfield","1982-09-05","3.95","1.00","Rain"
"Mt. Mansfield","1982-09-19","4.20","1.08","Rain"
"Mt. Mansfield","1982-09-23","4.14","0.13","Rain"
"Mt. Mansfield","1982-09-24","4.45","0.30","Rain"
"Mt. Mansfield","1982-10-01","4.50","1.81","Rain"
"Mt. Mansfield","1982-10-03","4.10","0.52","Rain"
"Mt. Mansfield","1982-10-08","4.32","1.25","Rain"
"Mt. Mansfield","1982-10-17","4.08","1.89","Snow"
"Mt. Mansfield","1982-11-05","5.09","1.18","Rain"
"Mt. Mansfield","1982-11-12","4.20","0.10","Rain"
"Mt. Mansfield","1982-11-21","4.79","0.10","Rain"
"Mt. Mansfield","1982-11-25","4.52","1.30","Rain"
"Mt. Mansfield","1982-11-27","4.90","0.51","Rain"
"Mt. Mansfield","1982-12-05","4.56","0.03","Rain"
"Mt. Mansfield","1982-12-09","5.00","0.60","Snow"
"Mt. Mansfield","1982-12-11","4.04","0.34","Snow"
"Mt. Mansfield","1982-12-23","4.30","0.69","Snow"
"Mt. Mansfield","1983-01-02","4.14","0.30","Snow"
"Mt. Mansfield","1983-01-08","4.20","0.36","Snow"
"Mt. Mansfield","1983-01-16","5.65","1.12","Snow"
"Mt. Mansfield","1983-01-23","5.50","0.34","Rain"
"Mt. Mansfield","1983-01-27","4.40","0.73","Snow"
"Mt. Mansfield","1983-02-03","4.85","0.30","Snow"
"Mt. Mansfield","1983-02-04","4.04","0.08","Snow"
"Mt. Mansfield","1983-02-24","4.02","0.21","Snow"
"Mt. Mansfield","1983-03-13","4.80","1.55","Snow"
"Mt. Mansfield","1983-03-20","4.80","0.78","Snow"
"Mt. Mansfield","1983-03-29","5.35","1.56","Snow"
"Mt. Mansfield","1983-04-08","4.12","0.15","Snow"
"Mt. Mansfield","1983-04-16","4.85","0.32","Snow"
"Mt. Mansfield","1983-04-21","4.35","0.30","Snow"
"Mt. Mansfield","1983-04-26","4.63","1.36","Snow"
"Mt. Mansfield","1983-05-01","4.40","1.22","Rain"
"Mt. Mansfield","1983-05-10","5.10","1.36","Snow"
"Mt. Mansfield","1983-05-20","4.37","0.23","Rain"
"Mt. Mansfield","1983-05-24","4.47","0.83","Rain"
"Mt. Mansfield","1983-05-30","5.10","0.37","Rain"
"Mt. Mansfield","1983-05-31","4.39","0.77","Rain"
"Mt. Mansfield","1983-06-16","4.41","0.80","Rain"
"Mt. Mansfield","1983-06-18","4.60","0.69","Rain"
"Mt. Mansfield","1983-06-28","4.31","1.15","Rain"
"Mt. Mansfield","1983-07-02","4.30","0.80","Rain"
"Mt. Mansfield","1983-07-05","4.20","0.37","Rain"
"Mt. Mansfield","1983-07-06","4.50","0.44","Rain"
"Mt. Mansfield","1983-07-09","4.70","1.21","Rain"
"Mt. Mansfield","1983-07-12","4.94","0.18","Rain"
"Mt. Mansfield","1983-07-21","4.54","0.24","Rain"
"Mt. Mansfield","1983-07-22","4.93","0.97","Rain"
"Mt. Mansfield","1983-07-24","4.29","0.12","Rain"
"Mt. Mansfield","1983-07-25","4.29","0.72","Rain"
"Mt. Mansfield","1983-07-29","3.69","0.08","Rain"
"Mt. Mansfield","1983-07-30","4.20","1.08","Rain"
"Mt. Mansfield","1983-08-02","4.42","2.62","Rain"
"Mt. Mansfield","1983-08-06","4.08","0.33","Rain"
"Mt. Mansfield","1983-08-09","4.55","3.48","Rain"
"Mt. Mansfield","1983-08-11","4.51","0.22","Rain"
"Mt. Mansfield","1983-08-12","4.66","1.23","Rain"
"Mt. Mansfield","1983-08-21","3.70","0.23","Rain"
"Mt. Mansfield","1983-08-22","4.15","0.14","Rain"
"Mt. Mansfield","1983-08-23","4.05","0.13","Rain"
"Mt. Mansfield","1983-08-29","4.49","0.28","Rain"
"Mt. Mansfield","1983-09-07","4.40","0.20","Rain"
"Mt. Mansfield","1983-09-10","3.93","0.55","Rain"
"Mt. Mansfield","1983-09-11","4.14","0.37","Rain"
"Mt. Mansfield","1983-09-17","4.21","0.46","Rain"
"Mt. Mansfield","1983-09-22","4.70","3.03","Rain"
"Mt. Mansfield","1983-10-02","4.63","0.11","Rain"
"Mt. Mansfield","1983-10-04","4.10","0.01","Rain"
"Mt. Mansfield","1983-10-08","4.18","2.93","Rain"
"Mt. Mansfield","1983-10-09","4.04","0.48","Rain"
"Mt. Mansfield","1983-10-15","4.90","1.62","Rain"
"Mt. Mansfield","1983-10-27","5.65","0.66","Snow"
"Mt. Mansfield","1983-10-30","4.62","0.58","Snow"
"Mt. Mansfield","1983-11-03","4.02","0.80","Rain"
"Mt. Mansfield","1983-11-04","4.60","1.46","Rain"
"Mt. Mansfield","1983-11-25","4.66","1.84","Snow"
"Mt. Mansfield","1983-12-03","4.04","1.17","Rain"
