game_id,game_name,developer_id,publisher_id,console_id,release_date
1,Pokemon Red/Blue,1,1,1,1996-02-27 0:00:00
2,Tetris,1,1,1,1989-06-14 0:00:00
3,Pokemon Gold/Silver,1,1,1,1999-11-21 0:00:00
4,Super Mario Land,1,1,1,1989-04-21 0:00:00
5,Dr. Mario,1,1,1,1990-06-27 0:00:00
6,Kirby's Dream Land,7,1,1,1992-04-27 0:00:00
7,F-1 Race,7,1,1,1984-11-02 0:00:00
8,Donkey Kong Land,2,1,1,1995-06-26 0:00:00
9,The Legend of Zelda: Link's Awakening,1,1,1,1993-06-06 0:00:00
10,Dragon Warrior Monsters,28,19,1,1998-09-26 0:00:00
11,Yu-Gi-Oh! Duel Monsters,26,17,1,1998-12-16 0:00:00
12,Baseball,1,1,1,1983-12-07 0:00:00
13,Disney's DuckTales,6,2,1,1989-09-14 0:00:00
14,Game de Hakken!! Tamagotchi 2,29,6,1,1997-10-17 0:00:00
15,SolarStriker,30,1,1,1990-01-26 0:00:00
16,Tetris DX,1,1,1,1998-10-21 0:00:00
17,Yakuman,1,1,1,1989-04-21 0:00:00
18,Game & Watch Gallery,1,1,1,1997-02-01 0:00:00
19,Final Fantasy Legend III,5,3,1,1991-12-13 0:00:00
20,Yoshi,1,1,1,1991-12-14 0:00:00
21,Super Mario World,1,1,2,1990-11-21 0:00:00
22,Donkey Kong Country,2,1,2,1994-11-21 0:00:00
23,The Legend of Zelda: A Link to the Past,1,1,2,1991-21-11 0:00:00
24,F-Zero,1,1,2,1990-11-21 0:00:00
25,Mortal kombat II,4,5,2,1994-09-09 0:00:00
26,Final Fantasy II,5,3,2,1991-07-19 0:00:00
27,Street Fighter II: The World Warrior,6,2,2,1992-06-10 0:00:00
28,Star Fox,1,1,2,1993-02-21 0:00:00
29,Earthbound,7,1,2,1994-08-27 0:00:00
30,Super Mario All-Stars,1,1,2,1993-07-14 0:00:00
31,Final Fantasy III,5,3,2,1994-04-02 0:00:00
32,Killer Instinct,2,1,2,1995-08-30 0:00:00
33,Dragon Quest VI: Maboroshi no Daichi,10,4,2,1995-12-09 0:00:00
34,Mega Man X,6,2,2,1993-12-17 0:00:00
35,Super Bomberman 2,11,9,2,1994-04-28 0:00:00
36,Fatal Fury 2,12,8,2,1993-11-26 0:00:00
37,Chrono Trigger,5,3,2,1995-03-11 0:00:00
38,Donkey Kong Country 2: Diddy's Kong Quest,2,1,2,1995-11-20 0:00:00
39,Mario Paint,1,1,2,1992-07-14 0:00:00
40,NFL Quarterback Club 98,13,13,3,1997-10-24 0:00:00
41,Bomberman 64: The Second Attack!,14,14,3,1999-12-03 0:00:00
42,NASCAR 99,15,31,3,1998-09-11 0:00:00
43,Mortal Kombat Trilogy,16,16,3,1996-09-01 0:00:00
44,Knockout Kings 2000,17,17,3,1999-10-03 0:00:00
45,Glover,18,32,3,1998-10-26 0:00:00
46,Madden NFL 99,19,31,3,1998-07-31 0:00:00
47,Killer Instinct Gold,2,1,3,1996-11-25 0:00:00
48,Army Men: Sarge's Heroes,20,20,3,1999-09-30 0:00:00
49,WCW Mayhem,21,21,3,1999-01-01 0:00:00
50,Major League Baseball Featuring Ken Griffey Jr,22,33,3,1998-05-25 0:00:00
51,Conker's Bad Fur Day,2,2,3,1996-03-05 0:00:00
52,Tony Hawk's Pro Skater 2,23,23,3,1999-09-19 0:00:00
53,San Francisco Rush: Extreme Racing,16,16,3,1996-12-24 0:00:00
54,LEGO Racers,24,24,3,1999-07-21 0:00:00
55,WWF Attitude,25,4,3,1999-01-01 0:00:00
56,Blast Corps,2,2,3,1997-03-21 0:00:00
57,Castlevania,26,26,3,1999-01-26 0:00:00
58,International Superstar Soccer 64,17,26,3,1996-12-20 0:00:00
59,Extreme-G,5,25,3,1997-09-30 0:00:00
60,Ready 2 Rumble Boxing,18,16,3,1999-09-08 0:00:00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
